127|0.6222|43.0130|0.0027
158|0.0000|0.0000|
216|0.0000|0.0000|
140|0.0000|0.0000|
128|16.5662|26.2930|0.4419
240|0.0000|0.0000|
22|0.1219|0.0649|0.0019
229|0.0000|0.0000|
47|0.0000|0.0000|
29|7.5918|1.4277|0.0906
221|0.2713|26.9200|0.0196
86|0.0000|9.4128|0.0060
242|0.0000|0.0000|
249|||
150|0.0000|124.1134|0.1040
167|0.0000|0.0000|
247|||
248|||
36|0.4944|0.1010|0.0000
160|0.0739|0.0532|0.0000
154|4.3403|8.4887|0.0000
250|||
245|||
134|0.0000|0.0000|
219|0.0000|0.0000|
73|0.0743|0.0962|0.0029
53|0.0000|0.0000|
231|0.0000|0.0000|
125|0.0000|0.0000|
143|0.0000|0.0000|
9|0.0000|0.0000|
141|0.0000|0.0000|
123|0.0000|0.0000|
251|||
256|||
254|||
18|0.3925|0.0305|0.0075
252|||
93|0.0000|0.0000|
163|0.0000|0.0000|
253|||
255|||
1|0.0335|0.0460|0.0065
239|0.0239|13.0392|0.0896
4|0.0620|0.0284|0.0257
83|0.0000|0.0000|
98|2.6433|20.7300|0.0000
241|0.0000|0.0000|
71|0.2042|0.0260|0.0207
70|0.1134|6.1099|0.0030
137|0.0000|0.0000|
87|0.2427|18.6494|0.0000
52|0.0000|0.0000|
64|0.0000|0.0000|
186|0.0002|0.2548|0.0724
33|0.0179|0.1243|0.0047
172|0.0000|0.0000|
237|0.0000|0.1052|0.0166
63|1.5871|0.0286|0.0000
238|0.0386|0.0406|0.0074
138|1.8251|0.5559|0.0008
151|0.6503|0.0505|0.0000
227|0.0000|0.0000|
165|0.2154|6.2600|0.0000
40|0.0000|0.0000|
57|0.0000|0.0000|
97|0.0000|0.0000|
220|0.0000|0.0000|
74|0.0826|19.5665|0.0096
51|0.0000|0.0000|
20|0.0000|0.0000|
100|0.0000|0.0000|
198|0.0000|0.0000|
48|0.0000|0.0000|
109|0.0000|0.0000|
223|0.0000|0.0000|
228|0.1743|0.0193|0.0000
118|0.0483|0.0014|0.0000
15|0.0000|0.0000|
76|0.0000|0.0000|
35|0.3399|0.1777|0.0021
107|15.1428|1.7066|0.0000
159|0.0000|0.0000|
194|0.0000|0.0000|
17|0.0445|0.0484|0.0454
3|0.1408|0.0555|0.0042
213|0.0201|0.0001|0.0006
226|7.4500|3.2000|0.0000
236|0.0000|0.0000|
94|0.4579|2.7335|0.0000
210|0.2941|0.2866|0.0095
24|0.0000|0.0000|
26|0.0001|0.0009|0.0659
13|0.0000|0.0000|
218|0.3246|0.0351|0.0000
230|0.0000|0.0000|
225|0.1647|1.8553|0.0002
38|0.0000|0.0000|
66|0.5778|0.0348|0.0548
130|0.0000|0.0000|
112|0.0077|11.1638|0.0024
235|0.0140|0.0167|0.0058
14|0.0000|0.0000|
190|0.0000|102.6644|0.0000
214|4.6003|0.1467|0.0012
95|0.0000|24.0257|0.0527
11|0.0000|0.0000|
16|0.0045|0.0158|0.0050
142|0.0000|25.3795|0.0000
222|0.0000|0.0673|0.0398
113|1.9032|5.5595|0.0000
32|0.0033|0.0541|0.0213
28|0.0000|0.0000|
21|0.5248|0.0856|0.0088
62|0.0000|0.0000|
25|0.0000|0.0000|
69|0.0000|0.0000|
164|0.0000|0.0000|
232|0.0000|5.9171|0.0000
39|0.0000|0.0000|
50|0.0000|29.6300|0.2387
234|0.0000|0.0000|
2|0.0227|0.0630|0.0156
7|0.0000|0.0000|
184|0.0000|0.0000|
23|0.0000|0.0000|
103|13.5300|4.4400|0.0188
212|0.0000|0.0000|
217|0.0000|0.0000|
176|0.0421|0.1194|0.0251
88|2.7732|15.4967|0.0474
80|0.0000|0.0655|0.0100
147|0.0000|0.0000|
31|0.1781|0.2943|0.0550
45|0.0132|0.0120|0.0184
175|0.0000|0.0000|
41|0.0033|0.0541|0.0213
30|0.0001|0.1466|0.0000
37|0.0000|0.0937|0.0344
5|0.1996|0.0025|0.0017
224|0.0054|7.3709|0.0385
110|0.0094|0.0589|0.0047
106|0.0000|0.0000|
34|0.0000|0.0000|
243|0.0000|0.0000|
115|0.0128|0.0104|0.0109
131|0.2052|0.0614|
233|1.0013|0.0000|
211|0.0000|0.0000|
6|0.0000|0.0000|
90|0.0000|0.0000|
209|||
27|0.0026|0.1208|0.0543
215|||
92|0.0000|0.0573|0.0000
162|0.0000|0.0000|
114|0.0000|0.0000|
8|0.1628|0.0011|0.0037
